2017-05-05T19:41:44.790324000,2017-05-05T19:49:05.793413000
2017-05-05T19:49:05.793413000,2017-05-05T19:57:16.296851000
2017-05-05T19:57:16.296851000,2017-05-05T20:13:19.303598000
2017-05-05T20:13:23.803625000,2017-05-05T20:19:37.306245000
2017-05-05T20:34:32.812514000,2017-05-05T21:11:58.328233000
2017-05-05T21:12:07.328297000,2017-05-05T23:59:58.398496000
2017-05-06T00:00:02.898524000,2017-05-06T21:42:07.951204000
2017-05-08T13:58:16.280345000,2017-05-08T14:10:29.785424000
2017-05-08T14:10:29.785424000,2017-05-08T15:19:47.814220000
2017-05-08T15:21:04.314753000,2017-05-08T15:25:52.316745000
2017-05-08T15:37:47.821692000,2017-05-08T15:40:43.322908000
2017-05-08T16:09:08.834693000,2017-05-08T16:12:44.836186000
2017-05-08T16:18:08.838424000,2017-05-08T16:29:55.343305000
2017-05-08T17:22:20.864979000,2017-05-08T17:51:17.876923000
2017-05-08T17:52:52.377577000,2017-05-08T17:56:37.379122000
2017-05-08T18:16:43.387402000,2017-05-08T18:42:58.398200000
2017-05-08T19:04:25.407014000,2017-05-08T19:07:16.408184000
2017-05-08T19:12:17.910245000,2017-05-08T19:22:38.914494000
2017-05-08T19:23:01.414651000,2017-05-08T20:32:46.443264000
2017-05-08T20:38:55.445784000,2017-05-08T20:50:14.950420000
2017-05-08T20:50:14.950420000,2017-05-08T20:54:53.952325000
2017-05-08T21:58:47.978497000,2017-05-08T22:07:02.981875000
2017-05-08T22:20:37.487434000,2017-05-08T22:31:52.492038000
2017-05-08T22:39:31.495168000,2017-05-08T22:46:29.998019000
2017-05-08T23:11:06.008090000,2017-05-08T23:18:49.511245000
2017-05-08T23:21:00.012139000,2017-05-08T23:38:55.519467000
2017-05-08T23:43:03.021156000,2017-05-08T23:59:55.528054000
2017-05-09T00:00:00.028087000,2017-05-09T00:14:15.033914000
2017-05-09T00:49:57.048507000,2017-05-09T00:58:03.051824000
2017-05-09T00:59:28.552404000,2017-05-09T02:26:10.588292000
2017-05-09T02:33:31.591364000,2017-05-09T02:51:40.598962000
2017-05-09T02:55:52.600723000,2017-05-09T03:47:33.122431000
2017-05-09T03:52:34.624539000,2017-05-09T04:48:54.148225000
2017-05-09T05:10:16.657201000,2017-05-09T05:23:33.162783000
2017-05-09T05:40:39.169963000,2017-05-09T05:44:42.171664000
2017-05-09T05:48:04.673077000,2017-05-09T06:20:01.686478000
2017-05-09T07:17:28.710527000,2017-05-09T17:35:51.469041000
2017-05-10T16:00:30.932780000,2017-05-10T16:01:06.932953000
2017-05-10T16:04:47.434014000,2017-05-10T16:05:50.434317000
2017-05-11T14:16:25.422001000,2017-05-11T14:21:22.424002000
2017-05-11T14:21:31.424063000,2017-05-11T14:25:34.425699000
2017-05-11T14:25:34.425699000,2017-05-11T14:53:23.936926000
2017-05-11T15:35:32.953919000,2017-05-11T15:51:49.460474000
2017-05-11T15:52:07.460594000,2017-05-11T23:59:55.656075000
2017-05-12T00:00:00.156107000,2017-05-12T03:56:46.751235000
2017-05-12T03:56:46.751235000,2017-05-12T04:12:13.757506000
2017-05-12T04:12:22.757567000,2017-05-12T04:21:49.761416000
2017-05-12T04:21:54.261450000,2017-05-12T04:49:39.272793000
2017-05-12T05:05:06.279133000,2017-05-12T05:36:04.791877000
2017-05-12T05:36:04.791877000,2017-05-12T05:46:03.295993000
2017-05-12T05:56:19.800230000,2017-05-12T06:12:36.306954000
2017-05-12T06:12:36.306954000,2017-05-12T06:22:21.310982000
2017-05-12T06:22:48.311167000,2017-05-12T06:41:06.318726000
2017-05-12T06:41:06.318726000,2017-05-12T11:48:49.946091000
2017-05-12T11:51:22.947153000,2017-05-12T12:08:33.454306000
2017-05-12T12:23:33.460547000,2017-05-12T12:46:43.970182000
2017-05-14T06:13:07.333315000,2017-05-14T13:38:33.004445000
2017-05-14T13:48:09.008106000,2017-05-14T15:40:52.551185000
2017-05-14T15:42:40.551880000,2017-05-14T16:34:57.072190000
2017-05-14T16:53:33.079463000,2017-05-14T23:59:55.745856000
2017-05-15T00:00:00.245890000,2017-05-15T08:13:03.437762000
2017-05-16T13:22:00.343403000,2017-05-16T13:23:03.343734000
2017-05-16T13:37:18.348243000,2017-05-16T13:42:01.849740000
2017-05-16T13:42:24.349862000,2017-05-16T13:43:09.350099000
2017-05-16T13:50:07.852315000,2017-05-16T13:50:43.852507000
2017-05-17T08:47:12.751961000,2017-05-17T09:04:50.258360000
2017-05-17T10:49:23.296759000,2017-05-17T10:57:02.299609000
2017-05-17T11:06:24.803104000,2017-05-17T12:17:35.329810000
2017-05-17T18:00:33.958292000,2017-05-17T18:06:15.960416000
2017-05-17T18:06:20.460447000,2017-05-17T18:13:09.962985000
2017-05-17T18:15:51.963991000,2017-05-17T18:33:06.970410000
2017-05-17T18:48:20.476074000,2017-05-17T18:57:51.979612000
2017-05-17T19:05:57.982623000,2017-05-17T19:11:57.984853000
2017-05-17T19:16:36.986581000,2017-05-17T19:21:02.488228000
2017-05-17T19:24:47.489623000,2017-05-17T19:35:17.493524000
2017-05-17T19:36:15.993883000,2017-05-17T19:49:50.498929000
2017-05-17T19:52:46.000013000,2017-05-17T23:59:58.091826000
2017-05-18T00:00:02.591851000,2017-05-18T01:41:17.629788000
2017-05-18T01:43:05.630468000,2017-05-18T02:50:40.156045000
2017-05-18T02:59:53.659541000,2017-05-18T03:43:28.176095000
2017-05-19T02:40:55.461621000,2017-05-19T02:41:31.461753000
2017-05-19T03:03:07.466500000,2017-05-19T03:04:59.966912000
